,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,Iqaluit,63.7506,-68.5145,14.7,78,100,19.57
1,Albany,42.6001,-73.9662,35.83,70,15,4.0
2,Saint-Pierre,-21.3393,55.4781,80.6,55,0,3.44
3,Port Alfred,-33.5906,26.891,63.54,47,0,6.69
4,Luanda,-8.8368,13.2343,75.2,94,75,4.61
5,Norman Wells,65.282,-126.8329,32.04,69,75,6.91
6,East London,-33.0153,27.9116,50.94,93,0,5.75
7,Punta Arenas,-53.15,-70.9167,33.91,75,40,17.27
8,Usinsk,65.9939,57.5281,24.48,64,7,7.58
9,Carnarvon,-24.8667,113.6333,75.27,57,14,17.27
10,Port Hedland,-20.3167,118.5667,71.65,94,100,14.97
11,Cape Town,-33.9258,18.4232,56.64,87,0,12.66
12,Bojnourd,37.4747,57.329,64.35,68,40,0.0
13,Ushuaia,-54.8,-68.3,33.46,86,75,24.16
14,Tuktoyaktuk,69.4541,-133.0374,8.6,85,100,9.22
15,Thompson,55.7435,-97.8558,32.16,43,20,5.75
16,Chui,-33.6971,-53.4616,58.55,87,19,6.69
17,Rikitea,-23.1203,-134.9692,77.32,74,0,20.38
18,Tiksi,71.6872,128.8694,12.9,86,88,2.93
19,Mataura,-46.1927,168.8643,53.47,94,41,1.88
20,Kavieng,-2.5744,150.7967,85.82,64,76,9.48
21,Avera,33.194,-82.5271,54.54,53,0,6.49
22,Vila Velha,-20.3297,-40.2925,71.94,96,20,3.44
23,Hithadhoo,-0.6,73.0833,84.52,71,99,8.59
24,Fond du Lac,43.775,-88.4388,32.41,59,0,8.05
25,Ponta do Sol,32.6667,-17.1,59.36,76,56,4.23
26,Zapolyarnyy,69.4154,30.8136,22.28,80,94,14.07
27,Kaeo,-35.1,173.7833,60.33,94,79,10.85
28,Hasaki,35.7333,140.8333,63.0,51,100,14.79
29,Mīzan Teferī,6.9833,35.5833,73.29,68,89,2.84
30,Kapaa,22.0752,-159.319,73.78,85,100,13.8
31,Bakhmach,51.1808,32.7569,49.6,67,6,4.72
32,Jamestown,42.097,-79.2353,28.09,83,100,9.22
33,Vao,-22.6667,167.4833,75.96,72,100,22.97
34,Nhulunbuy,-12.2333,136.7667,88.41,58,40,12.66
35,Longyearbyen,78.2186,15.6401,4.84,51,40,14.97
36,Turukhansk,65.8167,87.9833,33.51,100,100,8.59
37,Lebu,-37.6167,-73.65,49.3,70,57,2.89
38,Atherton,53.5237,-2.4935,43.29,71,60,3.33
39,Bredasdorp,-34.5322,20.0403,55.78,88,1,2.28
40,Kachug,53.9606,105.8817,42.71,31,71,13.11
